                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2264,                 1.6147,                 1.2743,                0.64556,                0.52717,                 0.6125,                0.45426,                 1.0797,                 1.1179,                 1.1236,               8.33e-06,               8.33e-06,               8.33e-06
                      1,                 1.2087,                 1.5823,                 1.2797,                0.64982,                0.53844,                0.62241,                0.46553,                 1.0792,                 1.0983,                 1.1241,              1.196e-05,              1.196e-05,              1.196e-05
                      2,                 1.1736,                 1.4528,                 1.2497,                0.63332,                0.57954,                0.62928,                0.47003,                 1.0781,                 1.0859,                 1.1236,             9.3058e-06,             9.3058e-06,             9.3058e-06
